"","Site","Date","Why","Sex","Age","Education","Relationship","Think_about","Trying","Tried_before","Time_since_tried","How_long","GMS_now1","GMS_now2","GMS_now3","GMS_now4","GMS_now5","GMS_now6","GMS_now7","GMS_now8","GMS_now9","GMS_now10","GMS_now11","GMS_now12","GMS_now13","GMS_week1","GMS_week2","GMS_week3","GMS_week4","GMS_week5","GMS_week6","GMS_week7","GMS_week8","GMS_week9","GMS_week10","GMS_week11","GMS_week12","GMS_week13","SIMS1","SIMS2","SIMS3","SIMS4","SIMS5","SIMS6","SIMS7","SIMS8","SIMS9","SIMS10","SIMS11","SIMS12","SIMS13","SIMS14","SIMS15","SIMS16","SIMS_Intrinsic","SIMS_IdenReg","SIMS_ExtReg","SIMS_Amotivation","Times_walk","Mins_walk","Times_vigorous","Mins_vigorous","Times_moderate","Mins_moderate","GMSnStr","GMSfStr","GMSnIM","GMSfIM","GMSnAV","GMSfAV"
"16",1,2013-08-03,"Health benefits, fitness and body shape",2,22,3,1,12,1,1,36,5,5,4,3,6,7,5,6,6,3,6,6,4,3,4,4,2,3,6,6,5,6,6,6,4,4,4,6,2,2,2,4,2,2,2,3,6,1,1,4,1,1,1,17,11,6,6,10,120,1,30,0,0,4,3.33333333333333,5.4,5.25,5,4
"17",1,2013-08-03,"Winter kilos",2,29,2,3,6,3,1,40,12,7,9,6,7,7,8,9,9,8,8,8,8,8,2,5,2,2,2,6,7,7,7,7,3,5,5,3,6,5,3,5,6,6,4,4,5,2,2,6,5,5,3,18,22,18,12,2,45,0,0,0,0,7.33333333333333,3,7.6,4.25,8,4.33333333333333
"18",1,2013-08-03,"To be More healthy",2,37,4,1,52,0,1,156,52,6,7,1,3,7,7,7,2,2,5,7,7,3,7,2,2,6,6,6,6,6,6,6,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66666666666667,3.66666666666667,4.8,6,7,5
"19",1,2013-08-03,"Because I have a very sedentary lifestyle and it was affecting my health.",2,24,3,2,24,8,1,52,2,8,9,7,9,9,9,9,7,8,9,8,8,6,8,9,7,8,8,8,6,6,8,1,8,8,8,3,6,2,1,4,6,5,2,4,6,1,1,5,7,1,1,16,25,9,5,10,140,5,300,0,0,8,8,8.8,6.25,8,8
"20",1,2013-08-03,"To improve my health",2,23,4,1,8,2,1,52,8,9,6,9,9,8,9,9,5,9,9,5,8,8,8,6,7,9,8,8,8,6,9,9,9,9,9,4,1,1,1,4,4,1,1,3,6,1,1,6,4,1,1,17,15,4,4,4,90,2,100,2,100,8,7,8.8,8.5,6.5,9
"21",1,2013-08-03,"Because Summer is coming #beachbod",2,23,5,2,4,2,1,26,12,7,9,6,8,10,8,10,10,8,10,7,7,7,5,5,5,4,4,4,4,4,4,4,2,2,2,1,6,6,1,3,6,6,1,3,7,1,1,6,6,1,1,13,25,14,4,8,90,0,0,0,0,7.33333333333333,5,8.8,4,7,2
"22",1,2013-08-03,"Because I want to be healthier, more productive and motivated in life. Because I realise this point in my life is so carefree and I have so much time I should be trying to be the best person I can  be",2,21,4,1,20,1,1,40,3,7,7,4,3,5,8,8,6,2,4,7,6,4,7,8,3,8,4,6,7,3,3,3,8,8,8,3,6,4,1,2,6,3,2,4,6,1,2,4,6,2,2,13,24,10,7,6,130,1,20,1,70,6,6,4.4,5.25,6.5,8
"23",1,2013-08-03,"Appearance",1,21,3,2,30,3,2,NA,NA,6,6,6,9,9,9,9,10,10,10,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,9.4,NA,4,NA
"24",1,2013-08-03,"For better general health and weight loss",2,23,4,3,6,1,1,12,8,7,7,6,7,7,7,7,5,7,7,5,6,5,4,5,4,5,4,5,5,3,5,3,4,3,3,3,5,5,2,3,6,5,2,3,5,3,2,3,5,5,2,12,21,18,8,10,120,0,0,0,0,6.66666666666667,4.33333333333333,7,4.25,5.5,3.33333333333333
"25",1,2013-08-03,"Health reasons, weight reasons.",2,21,3,2,52,10,1,30,8,6,8,3,9,6,4,8,6,4,7,9,4,5,5,7,3,6,7,6,3,6,3,2,8,3,6,3,7,2,1,3,7,1,1,5,3,2,1,4,7,5,3,15,24,10,6,NA,NA,NA,NA,NA,NA,5.66666666666667,5,6,5.25,6.5,5.66666666666667
"26",1,2013-08-04,"after changing jobs and having a baby trying to regain same fitness as before",2,34,2,3,52,16,1,208,52,5,7,6,9,9,9,9,9,9,9,7,7,7,3,3,3,3,3,3,3,3,3,3,5,5,5,3,5,4,2,3,4,4,1,3,5,1,1,4,4,2,1,13,18,11,5,15,500,0,0,0,0,6,3,9,3,7,5
"27",1,2013-08-04,"Loose weight",2,23,4,2,8,8,1,52,26,8,8,8,7,8,9,10,0,10,10,9,9,9,7,7,7,7,7,7,7,1,7,7,5,5,6,4,4,2,4,3,3,2,3,2,4,4,2,3,3,3,3,12,14,11,12,4,60,2,120,0,120,8,7,8.8,7,9,5.33333333333333
"28",1,2013-08-04,"Feeling unfit",2,23,5,2,30,4,1,52,20,9,8,8,8,9,10,9,10,7,8,8,9,9,8,8,9,8,8,9,9,10,9,7,8,9,9,4,6,6,1,3,4,6,2,4,6,2,5,7,7,6,2,18,23,20,10,7,360,7,360,2,60,8.33333333333333,8.33333333333333,8.4,8,8.5,8.66666666666667
"29",1,2013-08-04,"Fitness, strength, body image",1,22,3,2,5,1,1,50,10,6,3,5,7,7,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,3,1,5,5,2,2,5,5,1,1,5,4,2,1,20,19,8,5,25,300,2,120,0,0,4.66666666666667,6,7,6,6,6
"30",1,2013-08-04,"Because i sit at a desk everyday",2,25,5,1,10,4,1,3,2,10,8,10,6,6,7,10,10,5,5,6,7,10,10,10,10,7,9,10,8,9,8,6,10,10,8,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,6,6,6,8,7,140,7,360,0,0,9.33333333333333,10,5.8,8,6.5,9.33333333333333
"31",1,2013-08-04,"to become more fit, healthy and to lose weight",2,21,4,1,52,1,1,4,2,7,9,4,4,8,6,3,2,3,9,4,1,4,3,6,1,2,3,4,2,1,2,4,2,0,1,2,3,4,3,5,5,5,2,3,3,1,2,4,6,6,1,14,17,16,8,15,200,2,40,1,45,6.66666666666667,3.33333333333333,6,3.25,2.5,1
"32",1,2013-08-04,"Wanted to get back to high level of fitness and sport reasons",1,23,4,1,104,96,1,234,78,8,5,8,8,10,7,9,2,9,9,7,7,7,8,7,8,8,8,8,8,2,7,7,7,7,7,6,4,2,1,5,5,1,1,5,7,1,1,6,4,1,2,22,20,5,5,0,0,7,360,2,90,7,7.66666666666667,8.6,7.75,7,7
"33",1,2013-08-04,"Want to do an ultramarathon",2,22,4,3,2,0,2,NA,NA,9,0,5,5,7,9,10,0,4,0,9,10,9,9,9,6,8,6,9,6,0,7,0,8,9,10,5,7,1,1,2,4,1,1,1,7,1,1,1,3,1,1,9,21,4,4,10,600,2,420,0,0,4.66666666666667,8,5,5.75,9.5,9
"34",1,2013-08-04,"To live a longer healthier life.",1,24,3,1,8,8,2,NA,NA,7,10,7,7,9,10,6,10,8,10,8,9,6,10,10,10,8,6,9,9,9,9,10,10,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,8.8,8.25,8.5,4.33333333333333
"35",1,2013-08-04,"Weight gain",2,23,4,1,8,0,1,20,4,8,10,5,8,8,8,10,10,8,7,8,8,5,9,9,9,9,8,7,9,9,9,6,8,8,8,6,6,4,2,6,6,6,2,4,5,2,2,6,6,NaN,2,22,23,NA,8,0,0,NA,NA,NA,NA,7.66666666666667,9,7.8,7.5,8,8
"36",1,2013-08-04,"Energy and Health",1,29,4,1,104,80,2,NA,NA,10,3,10,10,10,10,10,3,10,3,7,10,10,10,2,10,10,10,10,10,2,10,10,10,10,10,5,7,3,1,5,6,4,1,5,7,1,1,6,6,3,1,21,26,11,4,3,60,5,300,1,60,7.66666666666667,7.33333333333333,8.6,10,8.5,10
"37",1,2013-08-04,"health",1,44,1,2,12,12,1,8,8,7,10,6,6,7,10,5,5,6,10,5,5,5,8,8,6,7,7,10,5,5,7,10,7,5,6,1,7,4,3,2,6,6,4,2,4,3,3,4,4,5,4,9,21,18,14,3,1,4,2,1,1,7.66666666666667,7.33333333333333,7.8,8.5,5,6
